features,importance
PA_RATE_INTEREST_PRIVILEGED_sum,1.0
PA_DAYS_DECISION_mean,6.2
PA_DAYS_DECISION_max,5.3999999999999995
PA_DAYS_DECISION_min,2.8
PA_DAYS_DECISION_count,0.0
PA_DAYS_DECISION_sum,2.5999999999999996
PA_SELLERPLACE_AREA_mean,5.2
PA_SELLERPLACE_AREA_max,3.4
PA_SELLERPLACE_AREA_min,2.8
PA_SELLERPLACE_AREA_count,0.0
PA_SELLERPLACE_AREA_sum,4.199999999999999
PA_CNT_PAYMENT_mean,17.4
PA_CNT_PAYMENT_max,5.2
PA_CNT_PAYMENT_min,1.0
PA_CNT_PAYMENT_count,0.0
PA_CNT_PAYMENT_sum,6.2
PA_DAYS_FIRST_DRAWING_mean,8.4
PA_DAYS_FIRST_DRAWING_max,5.0
PA_DAYS_FIRST_DRAWING_min,0.8
PA_DAYS_FIRST_DRAWING_count,0.2
PA_DAYS_FIRST_DRAWING_sum,0.4
PA_DAYS_FIRST_DUE_mean,1.2000000000000002
PA_DAYS_FIRST_DUE_max,1.7999999999999998
PA_DAYS_FIRST_DUE_min,1.6
PA_DAYS_FIRST_DUE_count,0.0
PA_DAYS_FIRST_DUE_sum,0.4
PA_DAYS_LAST_DUE_1ST_VERSION_mean,10.0
